product_id,product_name,category,base_price,seasonality_strength,trend_strength
1001,Electronics_Chargers_1001,Electronics,159.27,0.29,-0.0022
1002,Dairy_Cream_1002,Dairy,13.21,0.294,-0.0039
1003,Household_Cleaning Supplies_1003,Household,11.53,0.239,-0.005
1004,Beverages_Juices_1004,Beverages,23.95,0.27,-0.0016
1005,Household_Paper Products_1005,Household,16.95,0.278,-0.0022
1007,Personal Care_Shampoo_1007,Personal Care,64.75,0.267,-0.0035
1008,Personal Care_Shampoo_1008,Personal Care,41.91,0.27,-0.003
1009,Electronics_Batteries_1009,Electronics,87.2,0.302,-0.0041
1010,Grocery_Rice_1010,Grocery,15.85,0.276,-0.002
1011,Personal Care_Shampoo_1011,Personal Care,19.7,0.289,-0.0011
1012,Beverages_Juices_1012,Beverages,13.65,0.323,-0.0023
1014,Dairy_Butter_1014,Dairy,7.5,0.286,-0.0031
1015,Dairy_Cream_1015,Dairy,26.05,0.26,-0.0005
1016,Grocery_Rice_1016,Grocery,18.78,0.256,-0.0019
1017,Household_Paper Products_1017,Household,41.53,0.327,-0.0018
1018,Personal Care_Deodorant_1018,Personal Care,52.85,0.236,-0.0009
1021,Grocery_Canned Goods_1021,Grocery,27.73,0.292,-0.0027
1022,Household_Cleaning Supplies_1022,Household,52.96,0.307,-0.0041
1024,Grocery_Canned Goods_1024,Grocery,8.41,0.262,-0.0016
1025,Household_Detergent_1025,Household,8.13,0.313,-0.0022
1028,Household_Paper Products_1028,Household,40.14,0.265,0.0
1029,Grocery_Canned Goods_1029,Grocery,26.74,0.28,0.0015
1032,Snacks_Chocolates_1032,Snacks,14.69,0.292,-0.0009
1033,Household_Paper Products_1033,Household,31.39,0.305,-0.001
1034,Household_Cleaning Supplies_1034,Household,55.47,0.284,-0.0001
1035,Electronics_Batteries_1035,Electronics,236.39,0.287,-0.0019
1036,Electronics_Mobile Accessories_1036,Electronics,85.5,0.283,-0.003
1037,Electronics_Cables_1037,Electronics,171.83,0.281,0.0003
1038,Electronics_Cables_1038,Electronics,95.07,0.276,-0.0026
1039,Beverages_Soft Drinks_1039,Beverages,24.82,0.298,-0.0017
1041,Snacks_Nuts_1041,Snacks,13.3,0.26,-0.0015
1044,Snacks_Biscuits_1044,Snacks,20.91,0.261,-0.0036
1045,Electronics_Cables_1045,Electronics,135.55,0.295,-0.0051
1046,Household_Paper Products_1046,Household,56.02,0.282,-0.0038
1047,Household_Detergent_1047,Household,34.75,0.273,-0.0024
1048,Snacks_Biscuits_1048,Snacks,13.35,0.316,-0.0046
1049,Electronics_Batteries_1049,Electronics,113.6,0.297,-0.0044
1050,Snacks_Chips_1050,Snacks,17.22,0.262,-0.0031
1052,Snacks_Crackers_1052,Snacks,16.01,0.317,-0.0008
1053,Snacks_Crackers_1053,Snacks,11.23,0.281,-0.0038
1054,Snacks_Chips_1054,Snacks,9.5,0.304,-0.0014
1059,Electronics_Cables_1059,Electronics,20.22,0.294,-0.0016
1061,Personal Care_Skincare_1061,Personal Care,51.98,0.261,-0.0021
1062,Personal Care_Deodorant_1062,Personal Care,28.16,0.277,-0.0023
1064,Snacks_Biscuits_1064,Snacks,17.01,0.302,-0.0025
1065,Electronics_Chargers_1065,Electronics,169.17,0.272,-0.0025
1067,Grocery_Cereals_1067,Grocery,47.73,0.268,-0.0031
1068,Electronics_Chargers_1068,Electronics,91.01,0.308,-0.001
1069,Grocery_Spices_1069,Grocery,36.76,0.224,-0.0029
1070,Grocery_Canned Goods_1070,Grocery,40.45,0.282,-0.0049
1071,Grocery_Canned Goods_1071,Grocery,5.28,0.284,-0.0042
1072,Electronics_Chargers_1072,Electronics,229.22,0.28,-0.0037
1073,Electronics_Chargers_1073,Electronics,117.11,0.292,-0.0013
1074,Personal Care_Skincare_1074,Personal Care,60.29,0.293,-0.0035
1075,Snacks_Crackers_1075,Snacks,13.08,0.254,-0.004
1077,Household_Cleaning Supplies_1077,Household,46.21,0.318,-0.0035
1078,Electronics_Cables_1078,Electronics,173.93,0.295,-0.0027
1079,Beverages_Juices_1079,Beverages,5.03,0.257,-0.0034
1080,Snacks_Chips_1080,Snacks,21.41,0.293,-0.0021
1081,Snacks_Nuts_1081,Snacks,9.74,0.282,-0.0003
1082,Household_Detergent_1082,Household,42.77,0.253,-0.0013
1083,Dairy_Cheese_1083,Dairy,13.3,0.271,-0.0017
1084,Household_Paper Products_1084,Household,45.76,0.243,-0.0037
1085,Personal Care_Skincare_1085,Personal Care,25.63,0.276,-0.0032
1087,Snacks_Crackers_1087,Snacks,9.01,0.291,-0.0017
1088,Household_Cleaning Supplies_1088,Household,20.41,0.264,-0.0022
1089,Electronics_Mobile Accessories_1089,Electronics,63.41,0.311,-0.0018
1090,Dairy_Cheese_1090,Dairy,34.88,0.293,-0.004
1093,Snacks_Chips_1093,Snacks,7.7,0.277,-0.0018
1094,Grocery_Rice_1094,Grocery,22.83,0.272,-0.0008
1095,Snacks_Chocolates_1095,Snacks,19.96,0.269,-0.002
1096,Electronics_Mobile Accessories_1096,Electronics,108.58,0.293,-0.0014
1097,Snacks_Crackers_1097,Snacks,2.5,0.294,-0.002
1098,Electronics_Mobile Accessories_1098,Electronics,99.77,0.247,-0.0022
1099,Personal Care_Toothpaste_1099,Personal Care,47.74,0.277,-0.0039
1101,Snacks_Crackers_1101,Snacks,23.79,0.269,-0.0031
